" Sub-national electricity sales and numbers of customers, 2016 (1) ",,,, Number of MPANs (thousands) ,,,,, Sales (GWh) ,,,,, Averages (KWh) ,,,,,,,,,,, Average domestic consumption per household (kWh) (2) ,
,,,, Domestic consumers ,,, Non-domestic consumers ,, Domestic consumers ,,, Non-domestic consumers , All , Domestic Economy 7 ,, Standard ,, All domestic ,, Non-domestic ,, All ,,,,
 Region , Local Authority , LA Code , LAU1 , Economy 7 meters , Standard Meters , All domestic , All Non-domestic , Total number of Meters , Economy 7 meters , Standard meters , All domestic , All non-domestic , Total consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption ,,,
 EAST ,St Albans,E07000240,UKH2311, 12 , 47 , 60 , 5 , 64 , 63 , 192 , 255 , 226 , 481 ," 5,169 "," 4,134 "," 4,039 "," 3,313 "," 4,271 "," 3,457 "," 47,264 "," 9,745 "," 7,464 "," 3,541 ",," 4,318 ",
 EAST ,Stevenage,E07000243,UKH2314, 6 , 30 , 37 , 3 , 39 , 27 , 103 , 130 , 248 , 378 ," 4,311 "," 3,567 "," 3,389 "," 2,919 "," 3,548 "," 3,010 "," 96,427 "," 9,317 "," 9,633 "," 3,054 ",," 3,522 ",
 EAST ,Three Rivers,E07000102,UKH2308, 9 , 28 , 37 , 3 , 40 , 49 , 119 , 168 , 168 , 337 ," 5,190 "," 4,056 "," 4,282 "," 3,461 "," 4,513 "," 3,592 "," 63,081 "," 9,645 "," 8,428 "," 3,668 ",," 4,530 ",
 EAST ,Watford,E07000103,UKH2309, 11 , 29 , 40 , 4 , 43 , 48 , 101 , 149 , 337 , 486 ," 4,367 "," 3,583 "," 3,551 "," 2,916 "," 3,779 "," 3,066 "," 94,651 "," 9,475 "," 11,283 "," 3,159 ",," 3,738 ",
 EAST ,Welwyn Hatfield,E07000241,UKH2312, 10 , 37 , 47 , 4 , 51 , 47 , 141 , 187 , 434 , 621 ," 4,805 "," 3,729 "," 3,760 "," 3,067 "," 3,976 "," 3,179 "," 119,953 "," 9,286 "," 12,238 "," 3,248 ",," 3,966 ",
 EAST ,Breckland,E07000143,UKH1301, 23 , 37 , 60 , 6 , 66 , 126 , 145 , 270 , 322 , 592 ," 5,540 "," 4,128 "," 3,883 "," 3,154 "," 4,510 "," 3,442 "," 54,533 "," 9,500 "," 9,003 "," 3,547 ",," 4,684 ",
 EAST ,Broadland,E07000144,UKH1302, 17 , 40 , 57 , 4 , 61 , 89 , 146 , 236 , 242 , 478 ," 5,308 "," 3,857 "," 3,658 "," 3,036 "," 4,147 "," 3,236 "," 58,640 "," 8,589 "," 7,837 "," 3,308 ",," 4,278 ",
 EAST ,Great Yarmouth,E07000145,UKH1303, 16 , 30 , 45 , 4 , 50 , 77 , 105 , 182 , 186 , 368 ," 4,972 "," 3,566 "," 3,511 "," 2,917 "," 4,012 "," 3,105 "," 42,945 "," 8,283 "," 7,400 "," 3,192 ",," 4,181 ",
 EAST ,King’s Lynn and West Norfolk,E07000146,UKH1308, 29 , 43 , 72 , 7 , 79 , 170 , 171 , 341 , 711 ," 1,052 "," 5,872 "," 4,368 "," 3,950 "," 3,082 "," 4,721 "," 3,483 "," 106,475 "," 8,704 "," 13,325 "," 3,592 ",," 5,242 ",
 EAST ,North Norfolk,E07000147,UKH1305, 23 , 32 , 55 , 6 , 61 , 133 , 117 , 250 , 248 , 498 ," 5,865 "," 4,239 "," 3,637 "," 2,837 "," 4,557 "," 3,268 "," 41,280 "," 7,079 "," 8,181 "," 3,370 ",," 5,215 ",
 EAST ,Norwich,E07000148,UKH1306, 17 , 49 , 65 , 7 , 72 , 64 , 142 , 205 , 390 , 596 ," 3,851 "," 2,902 "," 2,914 "," 2,428 "," 3,152 "," 2,521 "," 54,626 "," 7,515 "," 8,241 "," 2,606 ",," 3,232 ",
 EAST ,South Norfolk,E07000149,UKH1309, 21 , 38 , 59 , 5 , 64 , 127 , 144 , 270 , 280 , 550 ," 5,920 "," 4,321 "," 3,803 "," 3,081 "," 4,569 "," 3,413 "," 54,904 "," 8,240 "," 8,563 "," 3,499 ",," 4,770 ",
 EAST ,Babergh,E07000200,UKH1401, 14 , 25 , 40 , 4 , 44 , 86 , 98 , 184 , 206 , 389 ," 5,912 "," 4,346 "," 3,881 "," 3,103 "," 4,619 "," 3,439 "," 53,028 "," 8,137 "," 8,914 "," 3,554 ",," 4,712 ",
 EAST ,Forest Heath,E07000201,UKH1402, 10 , 18 , 28 , 3 , 31 , 58 , 68 , 126 , 268 , 394 ," 5,864 "," 4,118 "," 3,671 "," 2,933 "," 4,434 "," 3,239 "," 85,235 "," 10,107 "," 12,504 "," 3,373 ",," 4,702 ",
 EAST ,Ipswich,E07000202,UKH1403, 19 , 42 , 61 , 5 , 66 , 83 , 137 , 220 , 265 , 486 ," 4,413 "," 3,438 "," 3,281 "," 2,796 "," 3,632 "," 2,959 "," 54,422 "," 9,913 "," 7,408 "," 3,043 ",," 3,714 ",
 EAST ,Mid Suffolk,E07000203,UKH1408, 17 , 26 , 43 , 4 , 47 , 108 , 104 , 212 , 248 , 460 ," 6,153 "," 4,535 "," 4,046 "," 3,252 "," 4,898 "," 3,656 "," 59,724 "," 8,602 "," 9,709 "," 3,751 ",," 4,945 ",
 EAST ,St Edmundsbury,E07000204,UKH1409, 16 , 32 , 48 , 5 , 53 , 84 , 116 , 200 , 318 , 517 ," 5,309 "," 3,920 "," 3,597 "," 2,959 "," 4,158 "," 3,197 "," 67,517 "," 10,192 "," 9,813 "," 3,311 ",," 4,192 ",
 EAST ,Suffolk Coastal,E07000205,UKH1406, 21 , 39 , 60 , 6 , 66 , 125 , 144 , 269 , 316 , 585 ," 5,911 "," 4,323 "," 3,666 "," 2,983 "," 4,452 "," 3,323 "," 55,614 "," 8,210 "," 8,847 "," 3,419 ",," 4,879 ",
 EAST ,Waveney,E07000206,UKH1407, 18 , 38 , 56 , 5 , 61 , 86 , 126 , 212 , 304 , 516 ," 4,738 "," 3,490 "," 3,339 "," 2,821 "," 3,793 "," 2,996 "," 64,729 "," 7,757 "," 8,524 "," 3,073 ",," 4,084 ",
 INNER LONDON ,Camden,E09000007,UKI1102, 7 , 97 , 104 , 25 , 129 , 34 , 317 , 350 ," 1,316 "," 1,666 "," 5,150 "," 3,742 "," 3,260 "," 2,293 "," 3,379 "," 2,341 "," 52,204 "," 5,253 "," 12,925 "," 2,464 ",," 3,199 ",
 INNER LONDON ,City of London,E09000001,UKI1101, 1 , 6 , 7 , 7 , 14 , 5 , 22 , 27 ," 2,150 "," 2,176 "," 5,075 "," 4,220 "," 3,891 "," 2,849 "," 4,071 "," 3,040 "," 299,458 "," 21,457 "," 158,341 "," 5,606 ",," 5,346 ",
 INNER LONDON ,Hackney ,E09000012,UKI1201, 8 , 100 , 108 , 16 , 125 , 39 , 306 , 346 , 547 , 893 ," 4,771 "," 3,680 "," 3,056 "," 2,343 "," 3,186 "," 2,402 "," 33,561 "," 5,071 "," 7,156 "," 2,490 ",," 2,991 ",
 INNER LONDON ,Hammersmith and Fulham ,E09000013,UKI1103, 6 , 80 , 86 , 13 , 99 , 32 , 254 , 285 , 651 , 936 ," 5,228 "," 4,269 "," 3,184 "," 2,360 "," 3,328 "," 2,432 "," 48,548 "," 3,483 "," 9,442 "," 2,466 ",," 3,454 ",
 INNER LONDON ,Haringey,E09000014,UKI1202, 26 , 82 , 108 , 9 , 118 , 96 , 269 , 365 , 392 , 757 ," 3,658 "," 2,633 "," 3,279 "," 2,550 "," 3,371 "," 2,571 "," 41,613 "," 6,932 "," 6,436 "," 2,627 ",," 3,180 ",
 INNER LONDON ,Islington,E09000019,UKI1203, 7 , 97 , 104 , 18 , 121 , 36 , 282 , 319 , 805 ," 1,124 "," 5,557 "," 4,624 "," 2,912 "," 2,245 "," 3,080 "," 2,315 "," 45,346 "," 4,715 "," 9,267 "," 2,385 ",," 3,014 ",
 INNER LONDON ,Kensington and Chelsea,E09000020,UKI1104, 6 , 82 , 88 , 19 , 107 , 36 , 335 , 372 ," 1,080 "," 1,451 "," 5,660 "," 3,996 "," 4,092 "," 2,487 "," 4,206 "," 2,557 "," 58,155 "," 3,510 "," 13,576 "," 2,608 ",," 4,692 ",
 INNER LONDON ,Lambeth ,E09000022,UKI1204, 9 , 131 , 140 , 18 , 157 , 49 , 393 , 442 , 636 ," 1,077 "," 5,614 "," 4,611 "," 2,998 "," 2,343 "," 3,161 "," 2,411 "," 36,165 "," 3,494 "," 6,848 "," 2,442 ",," 3,081 ",
 INNER LONDON ,Lewisham ,E09000023,UKI1205, 10 , 116 , 126 , 11 , 137 , 52 , 364 , 416 , 281 , 697 ," 5,171 "," 4,485 "," 3,140 "," 2,570 "," 3,301 "," 2,655 "," 24,850 "," 4,332 "," 5,078 "," 2,689 ",," 3,210 ",
 INNER LONDON ,Newham ,E09000025,UKI1206, 9 , 103 , 111 , 10 , 122 , 46 , 333 , 379 ," 1,089 "," 1,468 "," 5,300 "," 4,445 "," 3,248 "," 2,669 "," 3,408 "," 2,742 "," 104,101 "," 6,098 "," 12,069 "," 2,801 ",," 3,188 ",
 INNER LONDON ,Southwark,E09000028,UKI1207, 14 , 121 , 135 , 17 , 152 , 79 , 367 , 447 ," 1,231 "," 1,678 "," 5,773 "," 5,049 "," 3,034 "," 2,382 "," 3,313 "," 2,519 "," 70,808 "," 6,552 "," 11,022 "," 2,626 ",," 3,347 ",
 INNER LONDON ,Tower Hamlets,E09000030,UKI1208, 15 , 107 , 122 , 17 , 138 , 91 , 323 , 414 ," 2,229 "," 2,642 "," 6,025 "," 5,362 "," 3,031 "," 2,325 "," 3,403 "," 2,502 "," 134,654 "," 8,992 "," 19,124 "," 2,659 ",," 3,324 ",
 INNER LONDON ,Wandsworth,E09000032,UKI1105, 11 , 132 , 143 , 16 , 159 , 62 , 437 , 499 , 481 , 981 ," 5,676 "," 4,685 "," 3,317 "," 2,477 "," 3,499 "," 2,568 "," 30,063 "," 4,056 "," 6,179 "," 2,602 ",," 3,644 ",
 INNER LONDON ,Westminster,E09000033,UKI1106, 11 , 112 , 123 , 40 , 163 , 64 , 425 , 489 ," 3,155 "," 3,643 "," 5,833 "," 4,376 "," 3,785 "," 2,371 "," 3,967 "," 2,466 "," 78,722 "," 8,530 "," 22,322 "," 2,801 ",," 4,093 ",
 OUTER LONDON ,Barking and Dagenham,E09000002,UKI2101, 13 , 62 , 75 , 6 , 81 , 60 , 208 , 267 , 368 , 636 ," 4,549 "," 3,511 "," 3,343 "," 2,865 "," 3,553 "," 2,946 "," 65,689 "," 7,871 "," 7,866 "," 2,996 ",," 3,469 ",
 OUTER LONDON ,Barnet,E09000003,UKI2301, 42 , 106 , 148 , 13 , 161 , 198 , 426 , 624 , 492 ," 1,115 "," 4,721 "," 3,543 "," 4,014 "," 3,067 "," 4,214 "," 3,184 "," 39,266 "," 7,600 "," 6,948 "," 3,258 ",," 4,121 ",
 OUTER LONDON ,Bexley,E09000004,UKI2102, 9 , 89 , 98 , 7 , 105 , 49 , 330 , 379 , 383 , 763 ," 5,588 "," 4,878 "," 3,695 "," 3,181 "," 3,866 "," 3,274 "," 57,339 "," 7,914 "," 7,278 "," 3,327 ",," 3,869 ",
 OUTER LONDON ,Brent ,E09000005,UKI2302, 19 , 99 , 118 , 14 , 132 , 89 , 340 , 429 , 624 ," 1,053 "," 4,715 "," 3,642 "," 3,423 "," 2,692 "," 3,630 "," 2,806 "," 45,740 "," 5,102 "," 7,987 "," 2,854 ",," 3,525 ",
 OUTER LONDON ,Bromley,E09000006,UKI2201, 17 , 122 , 139 , 11 , 150 , 87 , 467 , 555 , 412 , 967 ," 5,046 "," 4,058 "," 3,827 "," 3,129 "," 3,978 "," 3,218 "," 37,572 "," 6,272 "," 6,430 "," 3,267 ",," 3,990 ",
 OUTER LONDON ,Croydon,E09000008,UKI2202, 29 , 125 , 154 , 12 , 167 , 136 , 456 , 592 , 596 ," 1,187 "," 4,635 "," 3,613 "," 3,644 "," 2,994 "," 3,832 "," 3,090 "," 48,973 "," 6,502 "," 7,130 "," 3,144 ",," 3,764 ",
 OUTER LONDON ,Ealing,E09000009,UKI2303, 11 , 122 , 133 , 12 , 145 , 56 , 419 , 475 , 839 ," 1,314 "," 5,221 "," 4,461 "," 3,424 "," 2,781 "," 3,570 "," 2,854 "," 68,612 "," 7,427 "," 9,043 "," 2,917 ",," 3,599 ",
 OUTER LONDON ,Enfield,E09000010,UKI2103, 36 , 90 , 126 , 9 , 135 , 166 , 329 , 495 , 521 ," 1,016 "," 4,560 "," 3,563 "," 3,672 "," 3,059 "," 3,929 "," 3,182 "," 58,653 "," 9,281 "," 7,536 "," 3,248 ",," 3,782 ",
 OUTER LONDON ,Greenwich,E09000011,UKI2104, 7 , 106 , 113 , 9 , 122 , 37 , 338 , 375 , 442 , 817 ," 5,409 "," 4,532 "," 3,194 "," 2,651 "," 3,327 "," 2,704 "," 48,164 "," 5,919 "," 6,707 "," 2,748 ",," 3,306 ",
 OUTER LONDON ,Harrow,E09000015,UKI2304, 23 , 67 , 90 , 6 , 96 , 103 , 252 , 355 , 227 , 582 ," 4,560 "," 3,517 "," 3,750 "," 3,046 "," 3,954 "," 3,150 "," 36,629 "," 9,387 "," 6,064 "," 3,224 ",," 3,884 ",
 OUTER LONDON ,Havering,E09000016,UKI2105, 20 , 84 , 104 , 7 , 111 , 96 , 312 , 408 , 375 , 783 ," 4,700 "," 3,789 "," 3,732 "," 3,155 "," 3,922 "," 3,266 "," 51,411 "," 8,706 "," 7,030 "," 3,336 ",," 3,986 ",
 OUTER LONDON ,Hillingdon,E09000017,UKI2305, 15 , 95 , 110 , 8 , 119 , 78 , 352 , 430 , 948 ," 1,379 "," 5,044 "," 4,222 "," 3,715 "," 3,109 "," 3,901 "," 3,219 "," 113,258 "," 10,385 "," 11,613 "," 3,297 ",," 3,854 ",
 OUTER LONDON ,Hounslow,E09000018,UKI2306, 10 , 92 , 102 , 9 , 110 , 52 , 332 , 384 , 905 ," 1,290 "," 5,411 "," 4,828 "," 3,604 "," 2,911 "," 3,776 "," 3,017 "," 105,652 "," 8,798 "," 11,688 "," 3,085 ",," 3,629 ",
 OUTER LONDON ,Kingston upon Thames,E09000021,UKI2203, 11 , 56 , 67 , 6 , 73 , 53 , 212 , 266 , 332 , 598 ," 4,756 "," 3,777 "," 3,829 "," 3,105 "," 3,985 "," 3,187 "," 52,886 "," 7,129 "," 8,195 "," 3,247 ",," 3,793 ",
 OUTER LONDON ,Merton,E09000024,UKI2204, 7 , 77 , 84 , 8 , 91 , 36 , 281 , 317 , 466 , 783 ," 5,406 "," 4,617 "," 3,640 "," 2,907 "," 3,779 "," 2,986 "," 62,010 "," 6,102 "," 8,573 "," 3,042 ",," 3,779 ",
 OUTER LONDON ,Redbridge,E09000026,UKI2106, 8 , 94 , 102 , 8 , 110 , 46 , 355 , 401 , 253 , 654 ," 5,554 "," 4,903 "," 3,775 "," 3,153 "," 3,920 "," 3,234 "," 31,171 "," 6,485 "," 5,919 "," 3,286 ",," 3,660 ",
 OUTER LONDON ,Richmond upon Thames,E09000027,UKI2307, 11 , 73 , 84 , 8 , 93 , 55 , 287 , 342 , 309 , 650 ," 4,985 "," 3,793 "," 3,914 "," 3,034 "," 4,053 "," 3,112 "," 36,707 "," 6,024 "," 7,017 "," 3,173 ",," 4,016 ",
 OUTER LONDON ,Sutton,E09000029,UKI2205, 17 , 66 , 83 , 6 , 89 , 83 , 243 , 326 , 353 , 679 ," 4,962 "," 4,136 "," 3,688 "," 3,061 "," 3,946 "," 3,225 "," 57,702 "," 5,889 "," 7,646 "," 3,266 ",," 3,863 ",
 OUTER LONDON ,Waltham Forest,E09000031,UKI2107, 11 , 90 , 102 , 9 , 111 , 54 , 297 , 351 , 336 , 688 ," 4,745 "," 3,708 "," 3,285 "," 2,727 "," 3,448 "," 2,801 "," 38,263 "," 5,907 "," 6,215 "," 2,853 ",," 3,316 ",
 SOUTH EAST ,Bracknell Forest,E06000036,UKJ1101, 5 , 43 , 48 , 3 , 51 , 28 , 173 , 201 , 315 , 516 ," 5,821 "," 5,255 "," 3,983 "," 3,335 "," 4,166 "," 3,449 "," 108,562 "," 10,146 "," 10,107 "," 3,503 ",," 4,063 ",
 SOUTH EAST ,Brighton and Hove,E06000043,UKJ2100, 34 , 94 , 128 , 14 , 142 , 139 , 304 , 443 , 515 , 958 ," 4,089 "," 3,190 "," 3,247 "," 2,615 "," 3,471 "," 2,743 "," 36,262 "," 4,681 "," 6,755 "," 2,785 ",," 3,456 ",
 SOUTH EAST ,Isle of Wight,E06000046,UKJ3400, 10 , 62 , 72 , 7 , 79 , 60 , 209 , 269 , 268 , 537 ," 5,769 "," 4,813 "," 3,394 "," 2,756 "," 3,735 "," 2,910 "," 35,877 "," 5,432 "," 6,761 "," 2,973 ",," 4,263 ",
 SOUTH EAST ,Medway,E06000035,UKJ4100, 23 , 90 , 113 , 8 , 121 , 101 , 325 , 426 , 410 , 835 ," 4,404 "," 3,549 "," 3,594 "," 3,077 "," 3,758 "," 3,160 "," 52,973 "," 8,015 "," 6,905 "," 3,212 ",," 3,729 ",
 SOUTH EAST ,Milton Keynes,E06000042,UKJ1200, 33 , 75 , 108 , 8 , 116 , 146 , 261 , 407 , 953 ," 1,360 "," 4,399 "," 3,443 "," 3,481 "," 2,938 "," 3,762 "," 3,067 "," 117,668 "," 12,386 "," 11,685 "," 3,152 ",," 3,826 ",
 SOUTH EAST ,Portsmouth,E06000044,UKJ3100, 9 , 81 , 91 , 7 , 98 , 50 , 261 , 311 , 602 , 913 ," 5,275 "," 4,431 "," 3,218 "," 2,720 "," 3,432 "," 2,817 "," 83,096 "," 7,964 "," 9,324 "," 2,879 ",," 3,476 ",
 SOUTH EAST ,Reading,E06000038,UKJ1103, 9 , 60 , 69 , 6 , 76 , 53 , 210 , 263 , 465 , 728 ," 5,806 "," 5,251 "," 3,475 "," 2,866 "," 3,782 "," 3,038 "," 73,389 "," 8,433 "," 9,602 "," 3,110 ",," 3,975 ",
 SOUTH EAST ,Slough,E06000039,UKJ1104, 7 , 47 , 53 , 5 , 58 , 36 , 163 , 199 , 916 ," 1,115 "," 5,439 "," 4,961 "," 3,503 "," 2,931 "," 3,744 "," 3,073 "," 199,035 "," 9,968 "," 19,273 "," 3,137 ",," 3,640 ",
 SOUTH EAST ,Southampton,E06000045,UKJ3200, 16 , 91 , 107 , 9 , 116 , 93 , 301 , 394 , 507 , 901 ," 5,704 "," 4,868 "," 3,306 "," 2,784 "," 3,669 "," 2,960 "," 57,337 "," 7,284 "," 7,752 "," 3,022 ",," 3,813 ",
 SOUTH EAST ,West Berkshire,E06000037,UKJ1102, 9 , 58 , 68 , 7 , 75 , 69 , 256 , 325 , 558 , 882 ," 7,503 "," 6,380 "," 4,375 "," 3,495 "," 4,798 "," 3,715 "," 79,741 "," 9,316 "," 11,820 "," 3,815 ",," 5,043 ",
 SOUTH EAST ,Windsor and Maidenhead,E06000040,UKJ1105, 5 , 58 , 63 , 6 , 70 , 34 , 255 , 289 , 417 , 705 ," 6,517 "," 5,368 "," 4,383 "," 3,415 "," 4,559 "," 3,506 "," 64,385 "," 9,307 "," 10,105 "," 3,609 ",," 4,719 ",
 SOUTH EAST ,Wokingham,E06000041,UKJ1106, 4 , 62 , 66 , 4 , 70 , 25 , 258 , 283 , 367 , 650 ," 6,288 "," 5,431 "," 4,181 "," 3,478 "," 4,308 "," 3,547 "," 87,285 "," 10,766 "," 9,292 "," 3,618 ",," 4,445 ",
 SOUTH EAST ,Aylesbury Vale,E07000004,UKJ1301, 23 , 55 , 78 , 6 , 85 , 127 , 215 , 343 , 299 , 642 ," 5,555 "," 4,197 "," 3,885 "," 3,125 "," 4,373 "," 3,372 "," 46,588 "," 9,355 "," 7,572 "," 3,455 ",," 4,521 ",
 SOUTH EAST ,Chiltern,E07000005,UKJ1302, 7 , 32 , 39 , 3 , 42 , 40 , 151 , 192 , 137 , 329 ," 5,988 "," 4,481 "," 4,663 "," 3,680 "," 4,892 "," 3,786 "," 42,368 "," 9,517 "," 7,744 "," 3,885 ",," 5,059 ",
 SOUTH EAST ,South Bucks,E07000006,UKJ1304, 2 , 27 , 29 , 3 , 32 , 12 , 135 , 146 , 206 , 352 ," 7,135 "," 5,753 "," 4,973 "," 3,771 "," 5,095 "," 3,831 "," 71,134 "," 10,830 "," 11,151 "," 3,962 ",," 5,254 ",
 SOUTH EAST ,Wycombe,E07000007,UKJ1305, 9 , 64 , 73 , 7 , 79 , 58 , 266 , 324 , 345 , 669 ," 6,541 "," 5,493 "," 4,182 "," 3,378 "," 4,469 "," 3,549 "," 51,516 "," 9,452 "," 8,444 "," 3,643 ",," 4,580 ",
 SOUTH EAST ,Eastbourne,E07000061,UKJ2202, 12 , 36 , 48 , 5 , 53 , 54 , 113 , 167 , 186 , 353 ," 4,305 "," 3,455 "," 3,161 "," 2,600 "," 3,457 "," 2,771 "," 39,604 "," 5,399 "," 6,661 "," 2,829 ",," 3,539 ",
 SOUTH EAST ,Hastings,E07000062,UKJ2203, 12 , 31 , 43 , 4 , 47 , 51 , 105 , 156 , 138 , 294 ," 4,211 "," 3,319 "," 3,381 "," 2,785 "," 3,614 "," 2,909 "," 33,687 "," 4,653 "," 6,222 "," 2,949 ",," 3,678 ",
 SOUTH EAST ,Lewes,E07000063,UKJ2205, 12 , 33 , 45 , 4 , 49 , 64 , 118 , 182 , 142 , 324 ," 5,239 "," 3,972 "," 3,631 "," 2,949 "," 4,068 "," 3,159 "," 35,171 "," 6,845 "," 6,646 "," 3,225 ",," 4,081 ",
 SOUTH EAST ,Rother,E07000064,UKJ2206, 14 , 32 , 45 , 5 , 50 , 75 , 120 , 195 , 158 , 353 ," 5,578 "," 4,210 "," 3,789 "," 2,992 "," 4,324 "," 3,261 "," 34,084 "," 6,088 "," 7,094 "," 3,329 ",," 4,577 ",
 SOUTH EAST ,Wealden,E07000065,UKJ2207, 20 , 48 , 68 , 7 , 75 , 121 , 199 , 320 , 209 , 529 ," 6,165 "," 4,546 "," 4,113 "," 3,194 "," 4,707 "," 3,481 "," 30,984 "," 7,777 "," 7,081 "," 3,582 ",," 4,745 ",
 SOUTH EAST ,Basingstoke and Deane,E07000084,UKJ3301, 6 , 69 , 75 , 6 , 81 , 40 , 270 , 311 , 518 , 829 ," 6,724 "," 5,667 "," 3,919 "," 3,177 "," 4,144 "," 3,283 "," 92,821 "," 9,286 "," 10,296 "," 3,349 ",," 4,216 ",
 SOUTH EAST ,East Hampshire,E07000085,UKJ3302, 5 , 47 , 52 , 5 , 57 , 35 , 202 , 237 , 196 , 433 ," 7,068 "," 5,864 "," 4,269 "," 3,396 "," 4,536 "," 3,523 "," 40,442 "," 8,160 "," 7,588 "," 3,606 ",," 4,816 ",
 SOUTH EAST ,Eastleigh,E07000086,UKJ3303, 4 , 51 , 55 , 4 , 59 , 21 , 183 , 204 , 312 , 516 ," 5,371 "," 4,822 "," 3,581 "," 3,046 "," 3,708 "," 3,116 "," 86,058 "," 10,301 "," 8,810 "," 3,182 ",," 3,710 ",
 SOUTH EAST ,Fareham,E07000087,UKJ3304, 4 , 46 , 50 , 3 , 53 , 19 , 168 , 187 , 237 , 424 ," 5,290 "," 4,485 "," 3,638 "," 3,099 "," 3,756 "," 3,157 "," 70,904 "," 10,074 "," 7,977 "," 3,229 ",," 3,840 ",
 SOUTH EAST ,Gosport,E07000088,UKJ3305, 5 , 33 , 37 , 2 , 40 , 27 , 108 , 135 , 142 , 276 ," 5,413 "," 4,798 "," 3,327 "," 2,882 "," 3,600 "," 3,012 "," 61,328 "," 6,367 "," 6,954 "," 3,048 ",," 3,636 ",
 SOUTH EAST ,Hart,E07000089,UKJ3306, 3 , 36 , 39 , 3 , 42 , 17 , 155 , 172 , 222 , 394 ," 6,125 "," 5,278 "," 4,283 "," 3,546 "," 4,416 "," 3,622 "," 76,402 "," 9,477 "," 9,426 "," 3,696 ",," 4,634 ",
 SOUTH EAST ,Havant,E07000090,UKJ3307, 4 , 51 , 56 , 4 , 59 , 22 , 185 , 207 , 206 , 413 ," 5,237 "," 4,370 "," 3,600 "," 3,063 "," 3,725 "," 3,123 "," 57,990 "," 8,032 "," 6,989 "," 3,182 ",," 3,915 ",
 SOUTH EAST ,New Forest,E07000091,UKJ3308, 7 , 74 , 82 , 8 , 89 , 46 , 286 , 332 , 404 , 737 ," 6,242 "," 5,098 "," 3,851 "," 3,109 "," 4,066 "," 3,204 "," 53,764 "," 7,606 "," 8,257 "," 3,286 ",," 4,175 ",
 SOUTH EAST ,Rushmoor,E07000092,UKJ3310, 3 , 36 , 39 , 3 , 42 , 17 , 127 , 144 , 244 , 388 ," 5,123 "," 4,568 "," 3,552 "," 3,025 "," 3,689 "," 3,110 "," 84,181 "," 10,454 "," 9,241 "," 3,188 ",," 3,787 ",
 SOUTH EAST ,Test Valley,E07000093,UKJ3312, 6 , 48 , 54 , 5 , 59 , 43 , 197 , 239 , 319 , 558 ," 7,497 "," 6,410 "," 4,066 "," 3,232 "," 4,426 "," 3,388 "," 59,367 "," 8,874 "," 9,388 "," 3,490 ",," 4,773 ",
 SOUTH EAST ,Winchester,E07000094,UKJ3313, 5 , 46 , 52 , 6 , 58 , 36 , 193 , 229 , 367 , 595 ," 6,833 "," 5,655 "," 4,158 "," 3,224 "," 4,432 "," 3,348 "," 61,387 "," 8,241 "," 10,334 "," 3,454 ",," 4,678 ",
 SOUTH EAST ,Ashford,E07000105,UKJ4201, 13 , 39 , 53 , 5 , 58 , 72 , 152 , 225 , 267 , 492 ," 5,491 "," 4,062 "," 3,874 "," 3,101 "," 4,279 "," 3,285 "," 52,016 "," 9,215 "," 8,533 "," 3,387 ",," 4,326 ",
 SOUTH EAST ,Canterbury,E07000106,UKJ4202, 14 , 52 , 66 , 6 , 72 , 67 , 185 , 252 , 315 , 567 ," 4,846 "," 3,712 "," 3,571 "," 2,902 "," 3,838 "," 3,042 "," 51,083 "," 7,757 "," 7,899 "," 3,131 ",," 3,876 ",
 SOUTH EAST ,Dartford,E07000107,UKJ4203, 6 , 38 , 44 , 4 , 48 , 30 , 136 , 166 , 246 , 411 ," 4,899 "," 4,073 "," 3,550 "," 2,984 "," 3,735 "," 3,092 "," 65,067 "," 10,220 "," 8,549 "," 3,170 ",," 3,816 ",
 SOUTH EAST ,Dover,E07000108,UKJ4204, 10 , 41 , 52 , 4 , 56 , 47 , 137 , 184 , 242 , 426 ," 4,514 "," 3,439 "," 3,322 "," 2,733 "," 3,562 "," 2,857 "," 54,230 "," 6,551 "," 7,576 "," 2,919 ",," 3,662 ",
 SOUTH EAST ,Gravesham,E07000109,UKJ4205, 9 , 34 , 42 , 3 , 46 , 39 , 124 , 163 , 272 , 435 ," 4,544 "," 3,627 "," 3,646 "," 3,065 "," 3,827 "," 3,161 "," 87,685 "," 7,660 "," 9,535 "," 3,220 ",," 3,773 ",
 SOUTH EAST ,Maidstone,E07000110,UKJ4206, 16 , 53 , 69 , 6 , 75 , 83 , 201 , 284 , 359 , 643 ," 5,149 "," 3,950 "," 3,813 "," 3,093 "," 4,127 "," 3,252 "," 58,242 "," 9,111 "," 8,581 "," 3,341 ",," 4,156 ",
 SOUTH EAST ,Sevenoaks,E07000111,UKJ4207, 13 , 37 , 49 , 5 , 54 , 79 , 166 , 244 , 199 , 443 ," 6,210 "," 4,615 "," 4,498 "," 3,507 "," 4,938 "," 3,736 "," 40,809 "," 7,819 "," 8,153 "," 3,832 ",," 4,960 ",
